video_id,video_title,link,author,text,likes,sentiment,confidence_score
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@angiielozz9118,Fue genial,0,neutral,0.6452492475509644
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@EMILY-kp1cg,"...........""...,,,,',,,,,,,,,",0,neutral,0.6912497282028198
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@ivancithotagle8372,"Acapulco Guerrero los extraña😔
Y mucho caravana coco cola☃️🎅🏻",0,neutral,0.7745791077613831
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@JoseHernandez-zq2ec,Grupos de ia huasteca,0,neutral,0.7795991897583008
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@armyruglaspasionmanual3341,Acapulco los extraňa coca cola que pasa 😢,0,negative,0.6704568266868591
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@cruz01xc_xc25,alguien me podria decir la cancion..,0,neutral,0.8200632929801941
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@huubienvu4037,s si clb cũ gio,0,neutral,0.8592584729194641
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@vanthihoang4709,chat luong tot,0,neutral,0.7654429078102112
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@phuognguyen9405,ok,0,neutral,0.4962122440338135
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@HoangSon-gb1mv,ca nhac co,1,neutral,0.6137032508850098
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@jesusorea5883,que hermoso espectáculo no cabe duda q la tecnología tiene cosas buenas hojala y lo trajeran a veracruz,0,neutral,0.7368862628936768
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@ZionDubpe,Your Father Died!!,0,negative,0.8900658488273621
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@mambagarcia9907,"deberían de venir a san Juan del río Querétaro ,acá hay muchos niños",0,neutral,0.8525345921516418
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@cesarnava259,musica,0,neutral,0.6272319555282593
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@mc.lemore2.0ttt61,Segundo 0:45 quien lo mal penso,0,neutral,0.8574963212013245
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@montoyaprestigemusic1867,Aliens! Extraterrestres,0,neutral,0.7404462099075317
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@llamamastarde4208,"bueno pues yo pienso que la verdad



Más información",0,neutral,0.8151884078979492
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,@gearsofschok,la cancion?,1,neutral,0.7078148126602173
