video_id,video_title,video_link,video_views,publish_video_year,video_title_language,author_comment,comment,likes_comment,sentiment_comment,confidence_score
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@angiielozz9118,Fue genial,0,neutral,0.6452492475509644
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@EMILY-kp1cg,"...........""...,,,,',,,,,,,,,",0,neutral,0.6912497282028198
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@ivancithotagle8372,"Acapulco Guerrero los extraña😔
Y mucho caravana coco cola☃️🎅🏻",0,neutral,0.7745791077613831
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@JoseHernandez-zq2ec,Grupos de ia huasteca,0,neutral,0.7795991897583008
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@armyruglaspasionmanual3341,Acapulco los extraňa coca cola que pasa 😢,0,negative,0.6704568266868591
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@cruz01xc_xc25,alguien me podria decir la cancion..,0,neutral,0.8200632929801941
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@huubienvu4037,s si clb cũ gio,0,neutral,0.8592584729194641
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@vanthihoang4709,chat luong tot,0,neutral,0.7654429078102112
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@phuognguyen9405,ok,0,neutral,0.4962122440338135
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@HoangSon-gb1mv,ca nhac co,1,neutral,0.6137032508850098
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@jesusorea5883,que hermoso espectáculo no cabe duda q la tecnología tiene cosas buenas hojala y lo trajeran a veracruz,0,neutral,0.7368862628936768
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@ZionDubpe,Your Father Died!!,0,negative,0.8900658488273621
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@mambagarcia9907,"deberían de venir a san Juan del río Querétaro ,acá hay muchos niños",0,neutral,0.8525345921516418
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@cesarnava259,musica,0,neutral,0.6272319555282593
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@mc.lemore2.0ttt61,Segundo 0:45 quien lo mal penso,0,neutral,0.8574963212013245
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@montoyaprestigemusic1867,Aliens! Extraterrestres,0,neutral,0.7404462099075317
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@llamamastarde4208,"bueno pues yo pienso que la verdad



Más información",0,neutral,0.8151884078979492
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@gearsofschok,la cancion?,1,neutral,0.7078148126602173
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@pagtigumtv3910,Wooow que genial 👏,3,positive,0.9076420068740844
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@ferhurtado5502,por que ya no han hecho en Celaya gto,1,neutral,0.7923569083213806
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@machoibericodecrianza6853,llamamastarde,0,neutral,0.627487301826477
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@angelicaalvesbarbosa9207,llamamastarde wfuh,1,neutral,0.6778549551963806
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@tonisanchez5024,+The notorious One k lo k,0,neutral,0.842192530632019
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@edarlega6623,Taste the feeling,1,neutral,0.7625616192817688
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@aqibkhanaqibkhan9189,"lllllmm 
kHz Ha Oh zip drop dip 7",0,neutral,0.8586922287940979
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@ntcsdakoto3427,Aqib Khan Aqib Khan,0,neutral,0.8637345433235168
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@oscar-oj7vk,"la coca cola con ron blanco sabe.bien, un bacardi. o un appleton también los más.locos le.ponen Tonaya o.mezcalito del más judído. los pobres lo revuelven con viuda negra",6,neutral,0.843058705329895
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@gracebuhlermarin,y por lo visto aqui en el DF ya no lo van a volver a hacer verdad.,0,neutral,0.7940770983695984
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@gog9606,Awwww,0,negative,0.7353116869926453
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@PauloVitor-fm1nh,"Olha só que legal aqui nos comentários, tem todas pessoas de cada país, unidos pela Coca-Cola ! ! !",1,neutral,0.6751667857170105
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@leslieshfsha7645,Por Dios que HERMOSO💕,2,positive,0.7433246970176697
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@rosamariamendozagil9786,me gusta la música y la alegría de la Navidad la coreografía es muy  buena,2,neutral,0.7586034536361694
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@welclersonsilva5823,muito lindo feliz Natal a todos,2,neutral,0.8272814154624939
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@soledadrivera8233,que delicioso es. la coca cola en mis comidas no falta el refreso coca cola,0,neutral,0.7995391488075256
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@nachorodriguez1969,gracias de Argentina,2,neutral,0.797450840473175
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@LauraGonzalez-ok5ef,como se llama la cansion,0,neutral,0.7185345888137817
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@alejandragarciaescobedo3107,like 32 i love coca cola💗💗💗,4,positive,0.9860664010047911
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@mariafernandacardona5848,es lo que más amo de Coca Cola gracias por tantas sonrisas💖,3,positive,0.8329898118972778
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@Joaquin-jb6dm,Amo la coca cola,2,neutral,0.7121423482894897
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@valeriamonserrathtorrestor196,2,2,neutral,0.4968129396438598
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@elsacantero2525,1,0,neutral,0.4965090751647949
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@nanabestaevi8731,maestro ulises Sandoval са,0,neutral,0.8577364087104797
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@josedejesusalvarez5842,maestro ulises Sandoval p,1,neutral,0.8683637976646423
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@brandontran352,Nana Bestaevi,0,neutral,0.7315775752067566
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@pepeperez7970,5,1,neutral,0.5012544989585876
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@玫瑰服飾,Crente TV  btnt,0,neutral,0.6962725520133972
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@narinphone2172,Crente TV,0,neutral,0.6884578466415405
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@narinphone2172,Pepe Perez i,0,neutral,0.807712733745575
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@anicetoalarconcabanas4479,Leslie Tafolla ni bien ni,1,neutral,0.7537668943405151
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@maysaolivei9696,źź Mezzndoza Gil777i7i77777777777 ź,2,neutral,0.8611772656440735
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@luizafreitasgoncalves2394,welclerson Silva,0,neutral,0.7769343256950378
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@alejandraivettquintanar5544,Luiza Freitas Gonçal   ves,0,neutral,0.8364470601081848
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@mararegina7,eu vou passa da com maridão beber Coca-cola zero vede,0,neutral,0.8506349325180054
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@enzofx6353,"Soledad Rivera bo0






  vbhggfri",0,neutral,0.8380696773529053
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,https://www.youtube.com/watch?v=l9r673GbR8k,7853189,2016,en,@teresahuerta6721,película pepa,0,neutral,0.6890290975570679
